Action,Notes,title,key,Org,count,Matches,Unmatched,Names
,,,,OCHA Ethiopia,,none,cb58fa1f-687d-4cac-81a7-655ab1efb2d0,Ethiopia - Subnational Administrative Boundaries
,,,,OCHA West and Central Africa (ROWCA),,none,b59b17f3-a3c7-45c0-a61d-539a01180494,Gambia - Subnational Population Statistics
,,,,OpenStreetMap RDC,,none,edbd7a16-55e8-4288-8454-f682066af270,Zones de santé (RDC) / Health zones (DRC)
,,,,UNFPA,,none,43f7b2c0-16b1-4b5f-bd74-4c2178d8c971,Municipal Population Projections of Guatemala by Age and Sex 2015-2030
,,,,OCHA Iraq,,none,9f04c93c-6696-45ef-bc12-b747daa1b4a5,Iraq - Water Courses (Rivers and Streams)
,,,,OCHA Iraq,,none,3506058f-565a-4ad3-8498-ac2e32dfe2ef,Iraq - Water Bodies (Lakes and Ponds)
,,,,OCHA Iraq,,none,93170987-276d-4526-9e3d-c982759d8eba,"Iraq - Populated Places (Cities, Villages, Towns)"
,,,,OCHA West and Central Africa (ROWCA),,none,c188d79c-fc74-44dd-aa46-adebb6b340d5,Sahel - Subnational Administrative Boundaries
,,,,OCHA occupied Palestinian territory (oPt),,none,f39a738d-9393-45bd-8e58-a0eca04f5470,State of Palestine - Hydrography
,,,,OCHA Latin America and the Caribbean (ROLAC),,none,70ca85b0-336a-407e-b9e5-f32a7e4840d0|50ea7fee-f9af-45a7-8a52-abb9c790a0b6|ab3c7592-3b0c-41cd-999a-2919a6b243f2,Chile - Subnational Administrative Boundaries,Colombia - Subnational Administrative Boundaries,Ecuador - Subnational Administrative Boundaries
,,,,OCHA Philippines,,none,841c1c45-1a12-43a3-b5a9-8aaefd9afc57,Philippines 2015 Census Population by Admin4(Barangay)
,,,,OpenStreetMap RDC,,none,c9cfe96c-bd95-484a-b950-53cef508011e,Limites de la RDC et de 20 pays avoisinants / DRC and neighbouring countries
,,,,OCHA Office of the Pacific Islands,,none,67887590-51b0-4d98-bc12-666ebedf7704|156a0966-1e09-455c-9e4f-e68676aa2fbf,Vanuatu - Subnational Administrative Boundaries,Kiribati - Subnational Administrative Boundaries
,,,,OCHA Somalia,,none,ec140a63-5330-4376-a3df-c7ebf73cfc3c,Somalia - Subnational Administrative Boundaries
,,,,OCHA ROCCA (Closed),,none,66f56d39-3f19-4798-a0df-a0ed9a4836ea|afb05759-c3da-44f4-93a1-6bd2d8bcd431,Uzbekistan - Subnational Administrative Boundaries,Kazakhstan - Subnational Administrative Boundaries
,,,,OCHA Niger,,none,c0e0998c-b45a-4aea-ac06-c1de1d94e596,Niger - Subnational Administrative Boundaries
,,,,OCHA Chad,,none,f01c8222-b67d-41ff-954a-731aafd4466b,Chad - Subnational Administrative Boundaries
,,,,OCHA Field Information Services Section (FISS),,none,7bc1fe9c-6ad1-4149-bfd0-ecd9df4dcaae,Haiti settlements
,,,,OCHA Haiti,,none,777e8b06-337f-4295-80bc-ca1515244215,Haiti - Subnational Administrative Boundaries
,,,,OCHA occupied Palestinian territory (oPt),,none,2caf8373-816f-458c-9913-71bddb9cab7c,State of Palestine - Subnational Administrative Boundaries
,,,,OCHA Libya,,none,13ed8024-60fa-455b-9872-e5dda46ee41b,Libya point Mantika
,,,,OCHA Ethiopia,,none,4f158439-f0e0-4bbb-a620-9897facf24a6,"Ethiopia - Cities, towns and villages"
,,,,UNFPA,,none,e656842e-9643-4ef7-97f9-18c33654022d,Kiribati - Subnational Population Statistics
,,,,UNFPA,,none,538a4523-8d2f-4875-b2c6-e7ba2b85fcd8,Ecuador - Subnational Population Statistics
,,,,OCHA Sudan,,none,92134b91-578b-4f0e-90ef-9d63170e9ead,Sudan: 2021 HNO Baseline Data
,,,,Regional IM Working Group - Europe,,none,f7198a6e-a864-423a-ab13-68712031749a,Settlements in Turkey (Admin 3-4)
,,,,OCHA Latin America and the Caribbean (ROLAC),,none,9721eaf0-5663-4137-b3a2-c21dc8fac15a,Mexico - Subnational Administrative Boundaries
,,,,OCHA Burkina Faso,,none,2940ed80-4b69-4b98-abaf-af79088852c5,Burkina Faso - Subnational Administrative Boundaries
,,,,UNFPA,,none,26801642-7088-4149-9605-6ae282897937,Kenya - Subnational Population Statistics
,,,,OCHA ROSA (Closed),,none,451bdd28-d06d-46ea-91c0-2e081f884395,United Republic of Tanzania - Subnational Administrative Boundaries
,,,,OCHA Middle East and North Africa (ROMENA),,none,ab6e70bd-3cab-4a68-9a02-04ecd3df6b46,Western Sahara - Subnational Administrative Boundaries
,,,,OCHA Chad,,none,cd236944-7f7d-4816-9828-4deb3d4084ea,Chad - Aerodromes
,,,,OCHA Venezuela,,none,5b141d29-534f-4f01-a0bc-41e2f375d925,Venezuela (Bolivarian Republic of) - Subnational Administrative Boundaries
,,,,OCHA Yemen,,none,6b2656e2-b915-4671-bfed-468d5edcd80a,Yemen - Subnational Administrative Boundaries
,,,,OCHA ROCCA (Closed),,none,693aca77-1252-4404-9045-785e43bb6846|ecb2cb09-1270-4a7f-9187-f093efebdef7|3ee95199-2dfe-40fc-b9bd-b44cc8c91024,Kyrgyzstan - Subnational Administrative Boundaries,Azerbaijan - Subnational Administrative Boundaries,Georgia - Subnational Administrative Boundaries
,,,,OCHA Iraq,,none,488bb3cd-3ce9-49d3-862a-3ce7975c63e1,Iraq - Subnational Administrative Boundaries
,,,,OCHA Philippines,,none,f26a0a04-0549-4139-af91-81dfa6e56082,Philippines: Pre-Disaster Indicators
,,,,OCHA Middle East and North Africa (ROMENA),,none,3d17274d-0812-4b21-b87a-4854af4eb244,Algeria - Subnational Administrative Boundaries
,,,,OCHA Middle East and North Africa (ROMENA),,none,7fb8f891-35f2-4bd5-8c75-5e7797ff1731|247b4026-79ff-4b16-95b9-0f366792d2cc,Morocco - Subnational Administrative Boundaries,Iran (Islamic Republic of) - Subnational Administrative Boundaries
,,,,OCHA Middle East and North Africa (ROMENA),,none,b90d81ba-7c7a-4283-9899-827480d80a79,Egypt - Subnational Administrative Boundaries
,,,,OCHA Central African Republic,,none,78d80f16-b9ff-49cd-8195-d96efcf3b669,Central African Republic - Subnational Administrative Boundaries
,,,,OCHA Lebanon,,none,cb7c8fe8-579f-4e0c-b840-eb6a09fd6ee7|3f3475b7-5a97-42e7-81c9-27f8fbab0564|1ebf72a6-a8fe-4951-8d32-5c7f5dea0e74,Beirut port explosion operational zones,Beirut buildings footprints,UNHABITAT Socio-economic Classification of Affected Zones
,,,,OCHA Field Information Services Section (FISS),,none,febfb0dc-fad6-4320-ac57-142b97053ef4,Global Humanitarian Response Plan COVID-19 Administrative Boundaries and Population Statistics
,,,,OCHA ROCCA (Closed),,none,37b89555-ef3e-4b26-a1ba-070318016853,Armenia - Subnational Administrative Boundaries
,,,,OCHA Field Information Services Section (FISS),,none,4f06337c-24cb-4703-8bd9-f2e18913a9cf,Bermuda - Subnational Administrative Boundaries
,,,,OCHA Burundi,,none,c20c52bb-29b4-4a20-a588-a0cf0409cb9c,Burundi - Health District Boundaries
,,,,OCHA Nigeria,,none,81ac1d38-f603-4a98-804d-325c658599a3,Nigeria - Subnational Administrative Boundaries
